,Unnamed: 0,title,year,language,time,rate,people
60,60,穿过忧伤的花季,2012,汉语普通话,87分钟,7.1,66
27,27,十三岁女孩,2006,普通话/国语,,7,65
97,97,无痛,2010,普通话,最终版本100分钟,7.9,64
11,11,艺考2010,2010,普通话/国语,,6.7,61
10,10,心雨花露,2008,汉语普通话,,6.9,59
69,69,末了，未了,2012,汉语普通话,90分钟,8.2,58
196,196,夏日的远行,2011,汉语普通话,90分钟,7.3,58
133,133,马梗子的奇妙青春,2014,汉语普通话,60分钟,7.2,55
194,194,划痕的岁月,2003,汉语普通话,,8.3,55
83,83,片刻停留,2012,汉语普通话,82分钟,7.3,53
293,293,上官海铃,2011,汉语普通话,50分钟,7.6,50
76,76,饱和 Saturation,2010,普通话/国语,,7.2,49
147,147,此时凉夏,2008,普通话/国语,,7.3,49
166,166,屌丝的逆袭,2012,汉语普通话,41分钟,7.4,49
290,290,城市上空的鸟,2007,普通话/国语,,7.5,48
271,271,如果,2011,汉语普通话,95分钟（首映版）,7.8,44
6,6,熊,1999,普通话/国语,30分钟,8.2,41
64,64,转校生,2009,普通话/国语,85分钟,6.9,40
62,62,暖伤,2010,汉语普通话,,7.6,35
278,278,TV小子,2001,汉语普通话,,7.2,33
132,132,阳光笑脸,2010,汉语普通话,,7.9,30
